time	whole_blood_radioactivity
821	25.29054588
822	25.38820305
823	24.31871244
824	25.16669886
825	25.93222124
826	26.03043508
827	27.29882743
828	25.89269628
829	28.50128252
830	24.75011786
831	25.35041534
832	25.69999409
833	23.28305782
834	24.3028905
835	25.57579705
836	26.09426407
837	23.92405483
838	25.61928445
839	23.53054672
840	24.72231623
841	23.80986835
842	23.48629136
843	22.06636916
844	25.7064812
845	24.62358297
846	24.72199533
847	25.24308409
848	27.28709073
849	28.23347464
850	25.70931172
851	24.62268775
852	25.65368806
853	24.39619761
854	24.15548497
855	26.97090919
856	27.07114679
857	26.91646631
858	26.1662422
859	25.07484508
860	26.8770821
861	26.89230682
862	24.86178002
863	24.70530254
864	24.88995426
865	25.84324373
866	25.08901351
867	26.29994334
868	27.2557369
869	26.67207645
870	25.06028865
871	25.84552812
872	23.80299792
873	26.64678489
874	23.48675662
875	24.70203953
876	27.3794957
877	23.61264085
878	25.08806996
879	24.32779214
880	23.30841382
881	25.30303862
882	23.93817591
883	23.95173586
884	23.53384902
885	24.3242491
886	27.36215446
887	24.87047539
888	28.4313564
889	25.15829239
890	25.08594953
891	24.84023439
892	26.67493079
893	23.1337292
894	27.92043874
895	24.46238729
896	27.34373573
897	28.05487076
898	27.02671764
899	25.38820418
900	24.61883099
